"Cs2","cutoff.step","Power.min","SR.min","Method","Sample.Size","Power","GP","SR","GSR","CSP","NA","Sample.Size","Power","GP","SR","GSR","CSP","NA","Sample.Size","Power","GP","SR","GSR","CSP","NA","Sample.Size","Power","GP","SR","GSR","CSP"
0.95,1,0.8,0.6,"BOP2-OC",128.74,8.89,8.89,4.86,4.86,91.02, ,98.6,8.89,8.89,5.17,5.17,90.72, ,119.94,9.6,9.6,4.78,4.78,91.02, ,94.21,9.83,9.83,5.12,5.12,90.72
0.95,1,0.8,0.6,"Dunnett",137,10.17,10.17,5.11,5.11,100, ,105,10.1,10.1,5.06,5.06,100, ,130,10.03,10.03,5.02,5.02,100, ,102,10,10,5.03,5.03,100
0.95,1,0.8,0.6,"BOP2-OC",127.92,8.37,8.37,4.35,4.35,90.12, ,98.38,8.23,8.23,4.31,4.31,90.4, ,118.94,9.29,9.29,4.35,4.35,90.12, ,93.94,8.84,8.84,4.32,4.32,90.4
0.95,1,0.8,0.6,"Dunnett",137,10.17,10.17,5.11,5.11,100, ,105,10.1,10.1,5.06,5.06,100, ,130,10.03,10.03,5.02,5.02,100, ,102,10,10,5.03,5.03,100
0.95,1,0.8,0.6,"BOP2-OC",127.93,8.21,5.38,4.33,2.84,60.46, ,97.79,8.38,5.3,4.48,2.81,60.7, ,118.96,9,5.96,4.3,2.92,60.46, ,93.22,9.32,5.96,4.78,3.12,60.7
0.95,1,0.8,0.6,"Dunnett",137,10.17,5.3,5.11,2.65,56.38, ,105,10.1,5.06,5.06,2.54,56.28, ,130,10.03,5.18,5.02,2.56,56.28, ,102,10,5.07,5.03,2.51,56.71
0.95,1,0.8,0.6,"BOP2-OC",90.63,2.36, ,2.32, ,0, ,69.98,2.48, ,2.42, ,0, ,73.55,2.44, ,2.37, ,0, ,59.37,2.46, ,2.39, ,0
0.95,1,0.8,0.6,"Dunnett",137,7.14,0,6.92,0,0, ,105,7.39,0,7.07,0,0, ,130,7.58,0,7.36,0,0, ,102,7.13,0,6.83,0,0
0.95,1,0.8,0.6,"BOP2-OC",136.99,91.27,91.27,77.77,77.77,99.99, ,104.99,91.35,91.35,79.29,79.28,99.98, ,129.99,89.33,89.33,79.16,79.16,99.99, ,101.98,89.59,89.58,78.55,78.55,99.98
0.95,1,0.8,0.6,"Dunnett",137,88.78,88.78,77.15,77.15,100, ,105,87.15,87.15,75.32,75.32,100, ,130,88.88,88.88,76.53,76.53,100, ,102,85.32,85.32,70.69,70.69,100
0.95,1,0.8,0.6,"BOP2-OC",136.94,89,88.99,73.94,73.94,99.93, ,104.95,88.96,88.96,75.04,75.04,99.93, ,129.92,87.52,87.52,76.18,76.18,99.93, ,101.94,87.42,87.42,75.04,75.04,99.93
0.95,1,0.8,0.6,"Dunnett",137,88.78,88.78,77.15,77.15,100, ,105,87.15,87.15,75.32,75.32,100, ,130,88.88,88.88,76.53,76.53,100, ,102,85.32,85.32,70.69,70.69,100
0.95,1,0.8,0.6,"BOP2-OC",135.46,75.2,75.04,57.08,57.07,85.95, ,103.88,75.09,74.89,51.66,51.66,85.74, ,128.13,74.22,74.01,59.8,59.8,85.95, ,100.63,73.88,73.69,52.61,52.61,85.74
